victim,config,condition,target_family,n,mean_target_budget_share,mean_time_to_exit,mean_final_two_round_target_share,mean_library_contamination_rate
rdagent,multi_agent,selected_family,liquidity_pulse,5,0.475,5,0.2,0.7047619047619047
rdagent,multi_agent,selected_family,momentum,5,0.9,8.8,0.7,1.0
rdagent,multi_agent,selected_family,price_extrema,5,0.775,7.4,0.7,0.8239538239538239
rdagent,multi_agent,selected_family,return_balance,5,0.65,7.2,0.4,1.0
rdagent,multi_agent,selected_family,volatility_regression,5,0.55,5.6,0.4,0.77
rdagent,multi_agent,selected_then_failure,candlestick,5,0.525,6,0.2,0.5542857142857143
rdagent,multi_agent,selected_then_failure,liquidity_pulse,5,0.5,5.2,0.4,0.6202380952380953
rdagent,multi_agent,selected_then_failure,momentum,5,0.85,8.6,0.6,1.0
rdagent,multi_agent,selected_then_failure,price_extrema,5,0.65,7.2,0.4,0.7714285714285715
rdagent,multi_agent,selected_then_failure,return_balance,5,0.5,6,0.2,0.9095238095238095
rdagent,multi_agent,selected_then_failure,volatility_regression,5,0.675,6.8,0.5,0.7323809523809524
rdagent,single_agent,same_family_null,candlestick,5,0.425,4.6,0.3,0.9416666666666667
rdagent,single_agent,same_family_null,liquidity_pulse,5,0.0,2,0,1.0
rdagent,single_agent,same_family_null,momentum,5,0.925,9,1,1.0
rdagent,single_agent,same_family_null,price_extrema,5,0.425,5.8,0.4,0.975
rdagent,single_agent,same_family_null,return_balance,5,0.45,6,0.2,1.0
rdagent,single_agent,same_family_null,volatility_regression,5,0.225,4.2,0.2,0.8333333333333334
rdagent,single_agent,sealed_hard_gate,candlestick,5,0.875,7.8,0.9,0.0
rdagent,single_agent,sealed_hard_gate,liquidity_pulse,5,0.725,6.8,0.8,0.0
rdagent,single_agent,sealed_hard_gate,momentum,5,0.875,8.8,0.8,0.0
rdagent,single_agent,sealed_hard_gate,price_extrema,5,0.85,7.2,1,0.0
rdagent,single_agent,sealed_hard_gate,return_balance,5,0.125,2,0,0.0
rdagent,single_agent,sealed_hard_gate,volatility_regression,5,0.5,5,0.5,0.0
rdagent,single_agent,selected_family,candlestick,5,0.85,6,1,0.5646825396825397
rdagent,single_agent,selected_family,liquidity_pulse,5,0.425,5.8,0.1,0.7107142857142857
rdagent,single_agent,selected_family,momentum,5,0.925,8.2,1,1.0
rdagent,single_agent,selected_family,price_extrema,5,0.775,8,0.6,0.8211760461760461
rdagent,single_agent,selected_family,return_balance,5,0.6,6.2,0.5,1.0
rdagent,single_agent,selected_family,volatility_regression,5,0.7,7.4,0.7,0.7787878787878788
rdagent,single_agent,selected_then_failure,candlestick,5,0.7,7.6,0.6,0.5285714285714286
rdagent,single_agent,selected_then_failure,liquidity_pulse,5,0.375,4.8,0.1,0.7166666666666667
rdagent,single_agent,selected_then_failure,momentum,5,0.775,7.6,0.7,0.96
rdagent,single_agent,selected_then_failure,price_extrema,5,0.475,5,0.3,0.805952380952381
rdagent,single_agent,selected_then_failure,return_balance,5,0.45,5.8,0.2,0.9428571428571428
rdagent,single_agent,selected_then_failure,volatility_regression,5,0.525,4.8,0.4,0.7706349206349207
